연번,사용일,적  요,금  액,"대상
(인)",사용처,"집행구분
(카드/현금)",
41,2020-06-24,시정 주요 현안 업무 추진 논의 간담,"233,200",12,본도시락,카드,
42,2020-06-24,내방객용 다과 등 구입,"441,200",,이룸카페외1,카드,
43,2020-06-25,명예퇴직 및 공로연수 공무원과 오찬 간담,"778,000",28,상무바다,카드,
44,2020-06-26,공공시설 개소식 및 협약식 등 환경정비에 따른 화분 등 구입,"920,000",,금강산꽃백화점,카드,
45,2020-06-26,직원 애경사 축부의금 집행,"250,000",5,소속직원,현금,
46,2020-07-01,코로나19 대응 현안 노고에 따른 격려간식 구입,"4,652,000","1,716",제이마트외1,카드,
194,2020-04-01,제21대 국회의원 선거 업무협력 간담회,"139,000",7,강의리추어탕,카드,
195,2020-04-01,열상카메라 운영 및 민원 동향관리 간담회 추진,"70,000",5,가화원,카드,
196,2020-04-01,화요 간부 회의 추진,"250,000",50,씨티매니저,카드,
197,2020-04-01,코로나19로 인해 5.18 40돌 기념 공연 및 전시등 논의 간담회,"103,000",4,타오,카드,
198,2020-04-02,코로나19로 보육교사 노동권 침해 및 근무여건 관련 처우개선 방안 논의 간담회,"119,000",4,하남낙지마당,카드,
199,2020-04-02,코로나19로 인한 위기 청소년 지원방안 논의 간담회,"118,000",4,예향계절한정식,카드,
200,2020-04-03,2020년 마을공동체사업 업무협력 간담회,"135,000",9,완도전복일번지,카드,
201,2020-04-06,열상카메라 운영 및 민원 동향관리 간담회 추진,"34,200",15,이룸카페,카드,
202,2020-04-06,광주청년 일경험드림사업 내실화 방안 추진 등 논의 간담회,"300,000",10,하누지,카드,
203,2020-04-07,PC영상회의 진행 개선사항 간담회 추진,"104,000",8,남해쭈꾸미마을,카드,
204,2020-04-07,아이낳아키우기 좋은 광주 만들기 추진방안 등 논의 간담회,"399,000",14,명지원명가,카드,
205,2020-04-08,코로나19 관련 등 동향 업무협력 추진 간담회,"90,000",5,미식가,카드,
206,2020-04-08,영상회의를 통한 교육 관련 논의 간담회,"54,000",7,영광오뚜기국수집,카드,
207,2020-04-08,청사출입시스템 관련 시민사회단체 간담회,"42,000",3,가화원,카드,
208,2020-04-09,시 상징물 지정 등 현안업무 논의 간담회,"11,700",6,이룸카페,카드,
209,2020-04-09,시정 관련 시민사회단체 협조 간담회,"33,500",2,바리에,카드,
210,2020-04-10,불편한 일버리기 관련 의견수렴 간담회,"68,000",6,최주원육개장,카드,
211,2020-04-10,시 공무직노조 관련 추경예산 협의 간담회,"120,000",6,어촌,카드,
212,2020-04-10,5.18민주유공자 생활지원금 지원방안 간담회,"148,000",5,머시기쪽갈비,카드,
213,2020-04-10,청년의 사회진입을 위한 자립기반 지원방안 간담회,"110,000",4,해궁,카드,
