연번,부 서 명,집행일자,집  행  내  역,집행장소,연번,"부 서 명   
 부 서 명","집행일자   
 집행일자"
3,총무과,3/2,코로나19 비상근무 직원 격려 간담회 경비 지출,동아전복,4,총무과,3/3
4,총무과,3/2,코로나19 비상근무 직원 격려 간담회 경비 지출,동인삼계탕,5,총무과,3/3
5,총무과,3/2,내방객 접대용 음료 등 구입,통통과일(대구점)외 1,6,총무과,3/3
6,총무과,"3/3   
 3/3",코로나19 비상근무 직원 격려 간담회 경비 지출,동해복어,7,총무과,3/4
7,총무과,"3/4   
 3/4",코로나19 비상근무 직원 격려 간담회 경비 지출,개정,8,총무과,3/5
8,총무과,3/5,코로나19 비상근무 직원 격려 간담회 경비 지출,부림산채,9,총무과,3/6
9,총무과,3/6,코로나19 비상근무 직원 격려 간담회 경비 지출,읍내,10,총무과,3/7
10,총무과,3/6,코로나19 비상근무 직원 격려 간담회 경비 지출,황뻘낙지,11,총무과,3/7
11,총무과,3/7,코로나19 비상근무 직원 격려 간담회 경비 지출,원할머니보쌈,12,총무과,3/8
12,총무과,3/8,코로나19 비상근무 직원 격려 간담회 경비 지출,개정,13,총무과,3/9
13,총무과,3/8,코로나19 비상근무 직원 격려 간담회 경비 지출,삼수장어,14,총무과,3/9
14,총무과,3/10,코로나19 비상근무 직원 격려 간담회 경비 지출,뜨돈,15,총무과,3/11
15,총무과,3/10,코로나19 비상근무 직원 격려 경비 지출,브라더한정식도시락,16,총무과,3/11
16,총무과,3/11,코로나19 비상근무 직원 격려 간담회 경비 지출,개정,17,총무과,3/12
17,총무과,3/11,코로나19 비상근무 직원 격려 간담회 경비 지출,더 반,18,총무과,3/12
18,총무과,3/13,코로나19 비상근무 직원 격려 간담회 경비 지출,뜨돈,19,총무과,3/14
19,총무과,3/14,코로나19 비상근무 직원 격려 간담회 경비 지출,개정,20,총무과,3/15
20,총무과,3/15,코로나19 비상근무 직원 격려 간담회 경비 지출,순남시래기,21,총무과,3/16
21,총무과,3/15,코로나19 비상근무 직원 격려 간담회 경비 지출,동해복어,22,총무과,3/16
22,총무과,3/16,코로나19 비상근무 직원 격려 간담회 경비 지출,뜨돈,23,총무과,3/17
23,총무과,3/17,코로나19 비상근무 직원 격려 간담회 경비 지출,동아전복,24,총무과,3/18
24,총무과,3/17,내방객 접대용 음료 등 구입,통통과일(대구점),25,총무과,3/18
25,총무과,3/18,코로나19 비상근무 직원 격려 간담회 경비 지출,순남시래기,26,총무과,3/19
26,"총무과   
 총무과","3/19   
 3/19",코로나19 관련 주요현안 협의를 위한 간담회 경비 지출,원할머니보쌈,"27   
 27",총무과,3/20
